"season","class","class_label","area_km2","percent"
"Dry",1,"Significant increasing",1664652.60753534,99.5542253294663
"Dry",2,"Insignificant increasing",7117.11624516145,0.425637752381178
"Dry",3,"Insignificant decreasing",336.710704135235,0.0201369181525226
