"season","period","n","slope_per_decade_Sen","p_MK","tau_MK","start_year","end_year","slope_per_decade_GLS_AR1","p_GLS_AR1"
"Annual","2001-2012",12,0.0276176091453036,0.00319196635354878,0.666666666666667,2001,2012,0.0294650445799058,0.00630607259087568
"Annual","2013-2025",13,0.0161892468441468,0.000318799758079651,0.769230769230769,2013,2025,0.0244287211872472,0.117653129591593
"Dry","2001-2012",12,0.0466972976808836,0.00203029443560941,0.696969696969697,2001,2012,0.0543094401725303,0.0095016991001783
"Dry","2013-2025",13,0.0260506573660156,0.0239875344644269,0.487179487179487,2013,2025,0.026157720399191,0.0747062849157144
"Wet","2001-2012",12,0.0199304468309287,0.0163933168888091,0.545454545454545,2001,2012,0.0188715873576315,0.00283690217585782
"Wet","2013-2025",13,0.0140986718481148,0.00279493456988729,0.641025641025641,2013,2025,0.0151713421661966,0.00632576388150554
