season,n_years,regional_series_pearson_r,regional_series_p,aqua_minus_terra_bias,rmse,median_pixelwise_temporal_r
Annual,23,0.9876111494702489,2.238238054114767e-18,-0.00425062564574776,0.006050341802477147,0.9653260253224993
Dry,23,0.9933466557174943,3.3561982084482104e-21,-0.002420688176818769,0.004632721182180628,0.9687233968676514
Wet,23,0.9600763596656815,4.3008009996034044e-13,-0.004882915603343003,0.007215948294950524,0.9127651692898701
