season,period,n,sen_slope_per_decade,p_MK,tau_MK
Annual,2001-2012,12,0.027617609145303555,0.0031919663535487806,0.6666666666666666
Annual,2013-2025,13,0.0161892468441468,0.00031879975807965166,0.7692307692307693
Dry,2002-2012,11,0.029992289048222043,0.008123423304273512,0.6363636363636364
Dry,2013-2025,13,0.02605065736601557,0.023987534464426967,0.48717948717948717
Wet,2001-2012,12,0.0199304468309287,0.016393316888809066,0.5454545454545454
Wet,2013-2025,13,0.014098671848114846,0.002794934569887289,0.6410256410256411
